年份,省代码,省,市代码,市,行政区域土地面积_平方公里_全市,建成区绿化覆盖率_百分比_市辖区,地区生产总值_当年价格_亿元_全市,普通高等学校_所_全市,普通中学_所_全市,普通小学_所_全市,普通小学_所_市辖区,公共图书馆图书藏量_千册_市辖区,公路客运量_万人_全市,生活垃圾无害化处理率_百分比_全市,博物馆数_个_全市,体育场馆数_个_全市
2019,110000,北京市,110000,北京市,16410,48.5,35371,93,654,941,941,70480,48151,99.98,179,300
2019,120000,天津市,120000,天津市,11967,37.5,14104,56,527,877,877,20990,12206,100,68,256
2019,130000,河北省,130100,石家庄市,15848,42.9,5810,44,422,1445,514,2960,3217,100,11,42
2019,130000,河北省,130200,唐山市,14198,42.31,6890,11,334,1134,391,2340,2768,100,17,51
2019,130000,河北省,130300,秦皇岛市,7802,41.71,1612,7,159,421,161,1340,1625,100,5,18
2019,130000,河北省,130400,邯郸市,12065,44,3486,5,420,1799,536,830,4022,100,13,22
2019,130000,河北省,130500,邢台市,12433,46.7,2120,4,285,1034,119,640,1255,100,7,35
2019,130000,河北省,130600,保定市,22185,42.82,3772,16,486,2141,410,970,9907,91.93,23,29
2019,130000,河北省,130700,张家口市,36797,40.12,1551,5,154,496,206,1050,1383,99.87,9,24
2019,130000,河北省,130800,承德市,39490,40.98,1471,6,127,452,58,420,768,99.49,13,20
2019,130000,河北省,130900,沧州市,14304,38.88,3588,8,322,1333,56,,3990,100,11,35
2019,130000,河北省,131000,廊坊市,6419,47.26,3196,13,195,765,132,1960,1842,100,4,16
2019,130000,河北省,131100,衡水市,8837,40.15,1505,2,180,584,92,430,942,100,4,14
2019,140000,山西省,140100,太原市,6988,45.93,4029,45,227,448,285,7570,1569,99.45,17,16
2019,140000,山西省,140200,大同市,14056,46.93,1319,1,201,348,176,750,1200,99.45,18,39
2019,140000,山西省,140300,阳泉市,4559,37.9,719,3,82,236,61,520,1230,86.7,2,2
2019,140000,山西省,140400,长治市,13955,43.81,1640,6,206,503,224,1200,4674,100,22,23
2019,140000,山西省,140500,晋城市,9425,45.65,1355,1,157,419,63,830,3798,100,5,21
2019,140000,山西省,140600,朔州市,10625,46.65,1062,3,86,166,49,190,3107,100,5,12
2019,140000,山西省,140700,晋中市,16392,37.04,1460,17,234,654,102,250,1782,99.92,21,328
2019,140000,山西省,140800,运城市,14183,37.76,1563,7,305,771,83,,1706,100,23,14
2019,140000,山西省,140900,忻州市,25236,39,1002,2,228,423,89,190,2107,100,16,25
2019,140000,山西省,141000,临汾市,20275,39.41,1453,5,261,778,125,670,3107,100,18,39
2019,140000,山西省,141100,吕梁市,21239,40.64,1512,1,290,566,49,120,3968,97.19,9,10
2019,150000,内蒙古自治区,150100,呼和浩特市,17186,40.1,2791,24,115,200,110,1400,315,99.9,37,37
2019,150000,内蒙古自治区,150200,包头市,27768,44.55,2714,5,97,138,106,15720,549,100,3,37
2019,150000,内蒙古自治区,150300,乌海市,1754,43,551,1,22,24,24,760,73,100,3,7
2019,150000,内蒙古自治区,150400,赤峰市,90021,39.7,1708,4,143,394,111,540,1795,100,24,30
2019,150000,内蒙古自治区,150500,通辽市,59629,42.19,1267,3,141,221,36,240,1079,99.74,10,35
2019,150000,内蒙古自治区,150600,鄂尔多斯市,86882,42.39,3605,4,74,139,39,1790,560,99.13,19,30
2019,150000,内蒙古自治区,150700,呼伦贝尔市,261570,36.36,1193,4,159,136,22,70,784,99.49,42,33
2019,150000,内蒙古自治区,150800,巴彦淖尔市,65140,36.4,875,2,49,95,29,90,611,99.76,13,50
2019,150000,内蒙古自治区,150900,乌兰察布市,54456,37.12,808,3,72,118,25,60,249,97.79,10,87
2019,210000,辽宁省,210100,沈阳市,12860,39.19,6470,47,303,279,241,18040,13760,100,14,11
2019,210000,辽宁省,210200,大连市,13739,44,7002,30,297,419,290,8470,7402,100,28,44
