名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page,城市
勃利森林公园Boli Forest Park,http://travel.qunar.com/p-oi20952570-bolisenlingongyuan,,地处勃利县西南方，主景区面积9200公顷，生态特点极为突出，在山间沟谷中，植被随着海拔的变化而变化，沼泽湿地溪水川流，多生有连生植物群。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/bcc0717eec126740d32cebc458ff4b41.jpg_480x360x95_65a3c183.jpg,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,2,七台河
神州半岛灯塔,http://travel.qunar.com/p-oi38603121-shenzhoubandaodengta,,"神州半岛位于万宁市东澳镇，这里的灯塔不仅是海港的守望者，还成为了地标性景点。沿着深入海中的护堤走进去就来到了灯塔脚下。在碧蓝大海的映衬下，红白相间的灯塔格外清新。傍晚时分，在晚霞和海水的映衬下，多彩梦幻的画面便呈现在眼前，让人沉浸在一眼天涯的浪漫中。
",,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/26a6baadc09fc8e7c133b1d2e73815fd.jpeg_480x360x95_3b16a170.jpeg,5.0,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,2,万宁
太阳湾路Sun Bay Road,http://travel.qunar.com/p-oi32733580-taiyangwanlu,"

地址:
海南省三亚市吉阳区


电话:
0898-88568899

",太阳湾路位于亚龙湾旅游度假区内，是亚龙湾通往太阳湾柏悦度假酒店的必经之路。这是一条深藏在亚龙湾与太阳湾之间的海景公路，一边是山，一边是海，约6公里的距离，足以让人感受到清静与避世。进入到太阳湾路，就真正进入到了山水之间、山海之间。太阳湾路起点，左边是一条小河注入大海，潮涨潮落，分不清哪里是海水，哪里是河水，只有河海相间的红树林，在不断地感受着大海与溪流之间的恩赐。这里一簇簇红树林，本身就是一道风景，枝头上白鹳、水鸟也好似在度假一样，或是站在枝头发呆，或是在悠闲地飞翔。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/29314950b14a829417f96670b87e5331.jpg_480x360x95_5d2079e0.jpg,5.0,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,3,三亚
琵琶堡,http://travel.qunar.com/p-oi39160344-pipabao,,,,,5.0,,,,,5,三明
北礁,http://travel.qunar.com/p-oi36246835-beijiao,,北礁位于西沙群岛。珊瑚礁在岛屿边缘生长，就像给海岸镶嵌上了彩色的珊瑚边，海平面上升覆盖了整个岛屿就成为了现在的北礁。北礁的珊瑚发育得比较好，海底生物多样，特别适合拍摄。,,,5.0,,,具体收费情况以现场公示为主,,1,三沙
三门峡天鹅湖旅游度假区Sanmenxia Swan Lake Resort,http://travel.qunar.com/p-oi36108557-sanmenxiatianehulu:you,,  天鹅湖旅游度假区位于河南省三门峡市，紧邻黄河，处黄河金三角文化和旅游核心区，面积约30.87平方公里。旅游度假区气候舒适，生态环境优良，以黄河为代表的生态文化主题资源和以温泉为代表的度假主题资源相互交融，在全国范围内具有独特性。这里是中国观赏黄河的地方，可一览清水黄河与浊水黄河的壮观景色，孕育了仰韶文化、虢国文化、陕州文化等璀璨的地域文化，这里是中国的内陆城市天鹅栖息地，大天鹅数量占全国三分之二，这里有珍贵的地下古民居建筑陕州地坑院，被誉为“地平线下的古村落，民居史上活化石”。这里有国内少有的可饮可浴的自溢温泉，分布广，流量大，水质佳，更是早期中国五大名泉之一。    依托丰富的旅游资源，度假区精心推出系列主题产品，漫步黄河公园，骑行黄河绿道，乘坐黄河流域的水上游轮，感受高峡出平湖的壮观景象。走进庙底沟遗址公园，虢国博物馆，宝轮寺塔，三门峡博物馆，感受一曲从数千年传颂至今的黄河谣。徜徉天鹅湖湿地公园，洁白美丽的白天鹅，碧波荡漾的黄河水，丰富多彩的科普研学，形成了一幅人与自然和谐相处的美丽画卷。驻足陕州地坑院，品尝以十大碗为代表的黄河特色美食，观赏营造技艺、曲艺、剪纸、茶艺、婚俗表演等非遗，体验陕州地区传统生活方式。陕州梆子、扬高戏、锣鼓书等人文艺术，为你的度假之旅助兴添彩。,,,5.0,,,内部项目收费,,7,三门峡
德莱蒙德住宅Drummond Residence,http://travel.qunar.com/p-oi32788081-delaimengdezhuzhai,,,,https://flight-feed.qunarzz.com/as3/288/image/poi_vishnu/c093e6c7-f88f-4dea-88c2-825d3eacfa4a.jpg,5.0,,,具体收费情况以现场公示为主,,7,上海
晒秋人家,http://travel.qunar.com/p-oi9787360-shaiqiurenjia,"

地址:
江西省上饶市婺源县茶乡路婺源篁岭景区内


电话:
0793-7255555


官网:
http://www.wyhl.cc/index.shtml

",祖辈起，篁岭村民用竹晒匾晾晒农作物，既不占地方，又便于收藏。每当日头升起，房前屋后成了竹晒匾的世界，长长木架托起圆圆的晒匾，饱经沧桑的徽式民居土砖外墙与晒架上的五彩缤纷组合，构成一幅闲适、安详、恬静的古村风情画。如今“婺源篁岭晒秋”已成为固定节目：每当日出东方，岭头最高处会冉冉升起红灯笼，霎时家家晒架上竹匾云集，春晒茶叶蕨菜、夏晒茄子豆角、秋晒稻谷辣椒，时令变化竹匾里所晒之物也在不断换新，您在村内不同角度都会拍到满意的“晒秋”作品。,淡季（11月-4月）7:30-17:00旺季（3月-10月）6:00-18:00旺季结束时间视游客下山情况而定。,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/91f7952cc8e0e9e0ecb67941ef27d2f3.jpg_480x360x95_370178fb.jpg,5.0,建议游览时间：0.5小时 - 1小时,,门票1、 篁岭景区门票价格：120元/人；半票60元/人2、 景区上下索道票价格：100元/人；单程60/人3、景区通票（门票+景区交通）价格：145元/人；半票120元/人4、溜索：45元/次5、 导游服务费：50元/次。优惠政策1、五折优惠人群（套票120元/人，门票60元人）：六十至六十九周岁老年人（持身份证等有效证件）、全日制在校本科（含）以下学生持有效证件者（不含成人院校）、身高1.2米至1.5米的未成年人、省级美术家协会、摄影家协会会员（不含各类报刊、摄影网站的会员或特约摄影师）、持有国家残联颁发的五至十级残疾证的残疾人。2、有条件免票人群（免门票，须支付景区交通费用）：七十周岁以上(含）老人（持身份证等有效证件）、持国家残联颁发的一至四级残疾证残疾人、现役军人（含武警部队）持有效证件者、持有新闻总署或广电总局颁发的新闻记者证（采访证）者（不含各类报刊网站颁发的记者证、采访证）、国家颁发的旅行社经理资格证者（或国家旅游局颁发的旅游行业总经理岗位职务培训证），国家级导游持有效证件者、持有效身份证的婺源县居民（五一、十一节假日及油菜花季双休日除外）、境外的冠名国家摄影家协会、中国摄影家协会、中国美术家协会、中国民俗摄影家协会、江西数字影像协会、中国作家协会会员。3、免票人群（免景区门票和景区交通费）：身高不足1.2米的未成年人、持有旅行社领队证、婺源、黄山、三清山景区导游证（讲解证）、国家级导游持有效IC卡证（国导证）者（公务）、持有A类驾照运客驾驶员（公务）,,1,上饶
八所镇Basuo Town,http://travel.qunar.com/p-oi32763154-basuozhen,"

地址:
海南省东方市

",八所镇是海南省的一个有名的小镇，由原八所、墩头、新街、罗带四个乡镇合并而成，是东方市政府办公所在地，同时也是东方市政治、经济、文化的中心。,全年 全天开放,,4.6,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,2,东方
扶屋水,http://travel.qunar.com/p-oi39440060-fuwushui,,,,,5.0,,,,,5,东莞
